timestamp,x,y,p
163,111,152,1
164,109,150,0
165,108,146,1
166,110,156,1
167,100,147,1
168,114,153,0
169,108,148,1
170,105,149,1
171,116,157,0
172,101,148,1
173,112,157,0
174,106,146,0
175,108,149,0
176,112,155,1
177,107,144,1
178,113,153,1
179,107,145,1
180,109,150,1
181,113,150,1
182,103,143,1
183,114,155,1
184,108,144,0
185,110,151,0
186,111,150,1
187,104,147,0
188,111,153,0
189,103,145,0
190,111,152,1
191,109,149,1
192,109,148,0
193,114,157,0
194,100,144,1
195,110,150,0
196,108,149,1
197,109,147,1
198,114,152,0
199,101,142,0
200,119,150,0
201,108,146,0
202,110,149,1
203,111,152,1
204,106,143,1
205,117,159,1
206,105,148,0
207,112,150,1
208,111,149,1
209,105,144,0
210,119,149,0
211,106,140,1
212,112,154,0
213,111,149,1
214,107,149,0
215,116,156,0
216,103,145,0
217,114,154,0
218,111,148,0
219,109,147,1
220,117,156,0
221,102,147,1
222,112,157,1
223,110,149,0
224,111,148,1
225,111,150,0
226,107,140,1
227,121,153,0
228,108,148,1
229,111,150,0
230,113,151,0
231,109,147,0
232,118,152,0
233,109,143,0
234,115,152,1
235,112,149,1
236,108,147,1
237,115,151,0
238,109,142,0
239,118,151,1
240,111,148,0
241,110,148,1
242,120,151,1
243,103,140,1
244,113,155,1
245,108,147,0
246,112,148,0
247,113,152,0
248,110,148,0
249,115,150,0
250,107,145,0
251,113,149,1
252,116,149,1
253,106,140,0
254,113,153,1
255,109,142,1
256,114,150,1
257,113,149,1
258,107,143,1
259,121,155,1
260,104,145,0
261,113,153,0
262,113,148,1
263,110,148,1
264,120,153,1
265,111,139,0
266,117,156,1
267,113,147,0
268,111,146,0
269,116,154,0
270,108,148,1
271,122,156,1
272,111,145,0
273,114,148,1
274,117,153,0
275,110,141,0
276,121,154,1
277,108,148,1
278,114,150,0
279,114,148,0
280,111,146,1
281,120,157,0
282,109,145,0
283,116,148,1
284,114,148,1
285,114,143,0
286,121,153,0
287,111,148,1
288,116,153,0
289,112,147,1
290,112,146,1
291,121,154,1
292,111,144,1
293,115,155,1
294,111,146,1
295,114,147,0
296,119,154,0
297,107,143,1
298,123,151,1
299,111,144,0
300,117,149,0
301,118,148,1
302,109,145,0
303,125,152,0
304,111,143,0
305,119,148,0
306,115,148,1
307,111,145,0
308,117,150,1
309,112,146,1
310,119,153,0
311,115,146,0
312,114,147,0
313,118,150,0
314,109,145,0
315,121,149,0
316,113,145,1
317,116,146,1
318,119,150,1
319,115,144,1
320,123,154,0
321,114,145,1
322,116,147,0
323,116,150,0
324,109,144,0
325,122,154,1
326,115,143,1
327,119,150,0
328,116,147,0
329,113,145,1
330,124,153,0
331,113,139,0
332,119,149,1
333,116,147,1
334,116,147,1
335,125,152,1
336,114,141,0
337,119,149,0
338,116,144,0
339,116,146,1
340,121,153,0
341,108,146,1
342,122,155,1
343,115,146,0
344,117,147,1
345,119,152,0
346,113,140,0
347,124,151,1
348,114,140,1
349,120,148,0
350,118,148,0
351,112,146,1
352,118,150,0
353,113,141,0
354,118,150,1
355,117,147,0
356,116,143,0
357,118,147,1
358,117,146,0
359,122,150,0
360,116,146,0
361,117,147,0
362,125,149,0
363,111,140,1
364,124,147,1
365,115,142,0
366,118,147,0
367,119,149,1
368,113,141,0
369,122,152,1
370,115,145,0
371,119,148,0
372,122,150,1
373,116,139,1
374,118,152,1
375,111,140,0
376,118,148,0
377,119,147,0
378,114,143,1
379,126,149,0
380,109,142,0
381,120,150,1
382,118,146,1
383,116,145,0
384,119,148,0
385,115,140,0
386,124,153,0
387,119,143,0
388,118,146,1
389,123,149,1
390,110,145,0
391,127,154,1
392,118,141,0
393,120,147,0
394,123,149,0
395,114,144,0
396,125,153,1
397,115,145,1
398,123,150,0
399,120,148,1
400,118,146,0
401,124,151,0
402,113,138,1
403,123,147,0
404,119,146,0
405,119,142,0
406,124,150,1
407,119,146,0
408,123,151,1
409,118,146,1
410,119,145,1
411,121,150,1
412,112,144,1
413,125,147,0
414,114,145,0
415,121,146,1
416,121,149,0
417,112,140,0
418,124,152,0
419,117,139,0
420,122,148,0
421,122,147,0
422,118,144,1
423,122,151,1
424,120,144,0
425,122,151,1
426,121,146,0
427,120,141,1
428,125,153,1
429,111,137,0
430,124,150,0
431,121,145,1
432,119,143,1
433,129,151,0
434,116,145,0
435,127,149,0
436,118,144,0
437,121,145,0
438,123,148,0
439,117,137,0
440,123,155,1
441,115,141,1
442,122,147,0
443,124,148,1
444,116,143,1
445,124,147,1
446,119,140,0
447,126,147,0
448,122,146,1
449,116,144,0
450,131,151,0
451,120,136,0
452,128,150,1
453,120,145,1
454,120,142,0
455,129,148,1
456,120,143,0
457,125,151,0
458,119,144,1
459,121,145,0
460,126,146,0
461,116,141,1
462,123,152,1
463,118,141,1
464,123,146,1
465,126,148,0
466,114,143,1
467,128,151,1
468,115,144,1
469,124,147,1
470,124,145,0
471,118,142,1
472,132,145,1
473,122,143,0
474,125,150,1
475,123,144,0
476,122,141,1
477,130,149,0
478,115,135,1
479,128,145,0
480,122,143,0
481,121,143,1
482,129,150,0
483,120,142,0
484,124,147,1
485,120,144,0
486,123,144,1
487,125,147,0
488,116,139,0
489,130,150,1
490,120,141,0
491,124,146,1
492,125,146,0
493,120,142,0
494,127,148,1
495,120,139,0
496,124,146,0
497,124,144,1
498,123,140,0
499,132,152,1
500,123,134,0
501,130,144,1
502,124,142,1
503,121,142,0
504,128,149,1
505,118,143,0
506,133,146,0
507,123,140,0
508,124,143,0
509,128,145,0
510,120,135,1
511,125,149,1
512,123,141,0
513,125,145,0
514,125,145,1
515,122,139,0
516,126,146,1
517,118,139,1
518,126,146,0
519,125,144,0
520,125,139,0
521,125,147,0
522,122,139,1
523,126,149,0
524,124,142,1
525,121,142,0
526,132,151,1
527,119,137,1
528,132,146,0
529,125,141,1
530,125,142,0
531,128,146,1
532,122,138,0
533,130,148,0
534,122,143,1
535,126,143,0
536,129,146,1
537,125,139,1
538,126,150,0
539,122,137,1
540,127,144,1
541,126,144,1
542,121,141,0
543,134,143,0
544,118,142,1
545,129,143,1
546,126,143,0
547,122,141,1
548,134,144,0
549,119,141,0
550,134,149,0
551,123,141,1
552,124,141,1
553,133,149,0
554,126,136,0
555,132,151,1
556,125,141,0
557,127,143,1
558,131,144,1
559,122,137,0
560,128,147,0
561,122,142,1
562,128,143,1
563,128,142,1
564,123,137,0
565,129,143,0
566,125,141,0
567,131,145,1
568,127,142,0
569,126,139,1
570,133,143,1
571,122,138,1
572,128,149,1
573,125,140,1
574,126,140,1
575,128,145,0
576,125,139,0
577,127,143,1
578,126,138,0
579,127,142,1
580,129,144,1
581,121,133,0
582,129,144,1
583,127,140,0
584,128,143,1
585,130,142,1
586,122,141,1
587,134,148,1
588,128,136,1
589,132,145,1
590,128,142,1
591,123,139,1
592,136,144,0
593,120,137,1
594,132,142,1
595,127,141,0
596,124,140,1
597,134,146,1
598,120,136,1
599,131,146,0
600,126,139,0
601,128,140,0
602,130,142,1
603,120,132,1
604,136,144,1
605,128,141,0
606,130,142,0
607,130,143,0
608,128,140,1
609,136,150,1
610,121,138,0
611,129,144,0
612,130,141,0
613,123,140,1
614,135,149,1
615,125,134,0
616,135,144,0
617,128,140,0
618,129,137,0
619,130,145,0
620,129,134,1
621,132,143,0
622,126,140,1
623,127,139,1
624,130,146,1
625,124,133,1
626,130,144,0
627,125,135,0
628,130,141,0
629,131,143,1
630,128,132,0
631,137,149,0
632,128,135,1
633,132,142,1
634,130,141,0
635,125,136,0
636,138,145,0
637,123,137,0
638,132,142,1
639,130,140,0
640,128,136,0
641,138,147,1
642,122,133,1
643,134,142,1
644,127,138,1
645,128,139,0
646,130,141,0
647,122,131,0
648,137,142,0
649,126,139,0
650,130,140,1
651,135,145,1
652,129,133,0
653,131,146,1
654,129,135,0
655,132,140,1
656,134,142,1
657,128,139,0
658,138,140,0
659,126,133,0
660,131,140,0
661,131,140,0
662,127,135,1
663,139,146,0
664,130,133,1
665,136,143,1
666,129,138,1
667,128,138,1
668,135,145,1
669,128,130,1
670,134,143,0
671,127,135,1
672,130,139,1
673,132,139,1
674,129,138,1
675,140,145,1
676,128,135,0
677,131,140,0
678,135,142,0
679,125,132,1
680,139,145,1
681,128,135,0
682,134,142,1
683,132,140,1
684,125,138,1
685,137,142,1
686,127,136,1
687,138,139,0
688,131,138,0
689,127,134,1
690,137,145,0
691,123,131,1
692,139,144,1
693,129,137,0
694,132,137,0
695,134,142,1
696,128,129,1
697,134,140,0
698,132,137,0
699,132,139,1
700,136,141,1
701,127,131,0
702,133,139,0
703,126,131,0
704,133,141,0
705,135,140,1
706,126,137,1
707,136,143,1
708,129,130,1
709,135,143,1
710,133,138,1
711,130,135,1
712,133,144,0
713,125,134,0
714,134,140,0
715,130,136,1
716,130,137,0
717,133,144,0
718,128,131,1
719,140,140,0
720,133,134,0
721,133,137,1
722,137,142,1
723,126,136,0
724,137,144,0
725,128,134,0
726,134,139,1
727,134,140,0
728,129,130,1
729,139,140,0
730,126,129,0
731,136,138,0
732,134,137,0
733,130,134,1
734,136,140,1
735,126,135,1
736,139,138,1
737,133,136,0
738,131,137,1
739,139,141,0
740,125,128,0
741,137,143,0
742,130,136,0
743,133,136,1
744,140,140,0
745,132,128,0
746,136,143,0
747,132,136,0
748,135,138,1
749,135,139,1
750,134,135,1
751,140,145,0
752,133,135,1
753,135,138,1
754,136,138,0
755,128,135,1
756,137,142,0
757,125,131,1
758,137,138,0
759,134,135,1
760,132,133,1
761,138,138,1
762,131,127,1
763,138,141,1
764,132,136,1
765,134,134,1
766,135,141,0
767,133,134,1
768,143,142,1
769,133,134,1
770,135,136,1
771,137,137,0
772,131,136,0
773,141,141,0
774,127,133,1
775,138,137,1
776,136,138,1
777,131,129,1
778,137,139,0
779,129,132,0
780,140,138,0
781,135,136,0
782,131,131,1
783,142,136,0
784,131,132,1
785,136,138,0
786,133,135,1
787,135,134,1
788,143,141,0
789,130,135,1
790,142,136,1
791,135,134,0
792,135,135,0
793,140,141,0
794,129,131,0
795,143,143,0
796,130,130,0
797,138,136,0
798,136,138,1
799,132,131,1
800,140,143,0
801,128,128,1
802,140,136,0
803,136,135,1
804,131,131,1
805,145,135,1
806,134,133,1
807,137,141,1
808,135,134,1
809,136,131,1
810,140,137,1
811,127,133,0
812,142,139,0
813,135,131,0
814,135,134,1
815,142,140,0
816,133,134,1
817,142,140,1
818,135,131,1
819,137,135,1
820,140,137,0
821,133,132,1
822,140,141,1
823,131,131,1
824,137,134,0
825,138,135,1
826,134,128,1
827,142,142,1
828,132,132,0
829,142,139,1
830,137,133,1
831,135,132,0
832,142,136,0
833,128,132,1
834,142,138,1
835,136,132,0
836,137,133,1
837,141,137,1
838,135,125,1
839,139,135,1
840,136,132,1
841,138,133,1
842,142,134,0
843,131,126,0
844,138,136,0
845,130,132,1
846,138,135,0
847,139,136,0
848,131,127,1
849,142,135,1
850,131,132,0
851,141,136,0
852,138,133,1
853,136,128,1
854,144,135,1
855,136,126,1
856,144,133,1
857,137,131,0
858,137,133,0
859,145,137,1
860,130,128,0
861,142,137,0
862,133,131,1
863,138,132,1
864,141,134,1
865,135,131,0
866,138,135,1
867,137,131,0
868,140,133,1
869,140,133,0
870,134,129,0
871,148,133,0
872,137,128,0
873,141,134,1
874,139,132,1
875,138,130,0
876,142,141,1
877,132,132,1
878,140,137,1
879,138,131,0
880,136,129,1
881,141,134,1
882,132,123,1
883,141,134,1
884,135,129,0
885,138,131,0
886,142,137,1
887,131,123,1
888,147,139,1
889,137,126,0
890,140,132,1
891,140,134,1
892,139,127,1
893,142,133,1
894,132,124,1
895,143,132,0
896,140,132,0
897,135,129,0
898,148,134,1
899,134,131,1
900,145,136,0
901,139,130,1
902,138,126,0
903,139,131,1
904,139,128,0
905,146,137,1
906,136,130,0
907,139,130,1
908,145,133,0
909,137,127,1
910,140,133,0
911,137,126,0
912,140,131,0
913,141,133,1
914,138,125,1
915,145,140,1
916,135,129,1
917,141,133,1
918,141,132,1
919,139,123,0
920,149,136,1
921,136,129,1
922,144,135,0
923,140,130,0
924,139,126,0
925,148,130,0
926,137,122,1
927,142,131,0
928,137,129,1
929,139,127,1
930,145,138,0
931,136,126,0
932,149,130,1
933,136,128,1
934,140,130,0
935,145,130,0
936,135,127,1
937,144,134,1
938,137,124,0
939,142,131,1
940,141,132,1
941,133,129,0
942,142,130,0
943,132,128,1
944,144,130,0
945,141,130,1
946,139,127,1
947,149,138,0
948,133,129,1
949,146,135,1
950,141,129,0
951,137,125,1
952,142,133,0
953,134,129,0
954,147,135,0
955,138,127,1
956,141,129,0
957,145,131,0
958,139,123,0
959,144,132,0
960,140,124,1
961,142,129,0
962,143,129,0
963,138,125,0
964,144,134,1
965,136,126,1
966,144,131,0
967,142,130,0
968,139,123,1
969,147,132,0
970,135,124,1
971,147,133,0
972,141,128,1
973,139,125,0
974,146,130,1
975,136,124,1
976,147,130,1
977,139,127,1
978,140,127,0
979,143,133,1
980,136,124,0
981,148,134,1
982,141,124,0
983,142,128,0
984,145,130,1
985,140,127,0
986,148,134,0
987,139,125,1
988,142,128,0
989,144,128,0
990,135,121,1
991,144,129,0
992,135,125,1
993,145,132,1
994,142,127,1
995,139,125,1
996,147,130,0
997,139,124,1
998,146,129,0
999,141,124,1
1000,142,124,0
1001,144,133,1
1002,136,123,0
1003,144,134,1
1004,140,122,0
1005,142,127,1
1006,148,132,1
1007,142,120,1
1008,151,134,1
1009,139,121,1
1010,143,128,0
1011,144,127,0
1012,135,123,0
1013,152,132,1
1014,136,120,1
1015,146,130,1
1016,143,127,0
1017,142,122,1
1018,151,135,0
1019,141,117,0
1020,144,131,0
1021,142,124,1
1022,141,125,0
1023,150,128,0
1024,139,122,0
1025,151,133,0
1026,139,123,0
1027,142,125,0
1028,147,132,1
1029,136,125,1
1030,148,126,0
1031,139,119,0
1032,144,126,0
1033,145,127,1
1034,140,122,0
1035,149,129,1
1036,137,124,0
1037,144,126,0
1038,144,126,1
1039,139,122,0
1040,148,131,0
1041,139,122,0
1042,144,129,0
1043,143,125,0
1044,139,125,1
1045,148,133,0
1046,140,123,1
1047,148,127,0
1048,142,125,1
1049,142,124,1
1050,144,129,1
1051,141,121,1
1052,152,129,1
1053,141,125,1
1054,144,125,1
1055,145,125,0
1056,140,117,1
1057,144,129,1
1058,141,124,0
1059,145,127,1
1060,144,126,0
1061,138,117,1
1062,147,126,1
1063,136,118,0
1064,148,124,0
1065,144,124,0
1066,140,121,0
1067,150,125,0
1068,140,115,1
1069,147,126,1
1070,142,123,1
1071,141,123,0
1072,149,127,0
1073,143,114,1
1074,148,132,1
1075,141,119,0
1076,144,124,0
1077,145,127,1
1078,137,115,1
1079,145,133,0
1080,138,121,1
1081,146,124,1
1082,146,124,0
1083,142,122,0
1084,153,127,0
1085,144,122,0
1086,146,127,0
1087,144,124,0
1088,142,121,1
1089,152,130,0
1090,142,115,0
1091,150,124,0
1092,143,123,1
1093,143,121,1
1094,147,130,1
1095,140,115,1
1096,152,129,0
1097,142,120,1
1098,144,122,1
1099,151,124,1
1100,143,116,1
1101,146,126,0
1102,138,118,1
1103,145,123,1
1104,146,123,1
1105,141,117,1
1106,149,123,0
1107,141,115,0
1108,148,125,1
1109,145,123,1
1110,139,118,0
1111,154,126,0
1112,144,122,0
1113,151,126,0
1114,144,122,0
1115,143,117,1
1116,151,129,1
1117,143,118,1
1118,149,122,0
1119,142,120,1
1120,143,121,1
1121,149,129,0
1122,143,119,0
1123,153,126,0
1124,141,120,1
1125,145,122,1
1126,149,123,0
1127,143,115,0
1128,151,127,0
1129,142,117,0
1130,148,121,0
1131,145,122,0
1132,139,120,0
1133,151,123,1
1134,143,116,0
1135,147,124,0
1136,145,121,1
1137,141,118,0
1138,147,129,0
1139,143,112,0
1140,151,122,1
1141,145,119,0
1142,143,119,0
1143,146,123,0
1144,138,112,1
1145,147,122,1
1146,143,117,0
1147,145,120,1
1148,149,124,1
1149,138,116,0
1150,150,126,1
1151,142,117,1
1152,147,121,1
1153,147,121,0
1154,145,118,1
1155,152,123,1
1156,143,117,0
1157,146,123,1
1158,146,120,1
1159,142,114,0
1160,148,128,1
1161,139,115,1
1162,146,121,0
1163,145,120,0
1164,144,119,1
1165,151,121,1
1166,143,110,1
1167,153,122,0
1168,145,118,1
1169,145,119,0
1170,149,121,0
1171,142,119,1
1172,155,121,1
1173,146,115,0
1174,147,120,1
1175,147,123,1
1176,140,112,1
1177,148,120,0
1178,142,114,1
1179,149,121,0
1180,148,120,0
1181,145,113,1
1182,152,122,1
1183,140,116,0
1184,146,120,1
1185,146,119,0
1186,146,118,0
1187,149,125,1
1188,146,114,1
1189,151,124,1
1190,145,115,1
1191,146,117,1
1192,150,123,0
1193,143,114,1
1194,150,122,0
1195,146,113,1
1196,147,118,0
1197,149,123,0
1198,140,112,1
1199,153,121,1
1200,144,113,0
1201,149,120,0
1202,149,119,0
1203,143,112,0
1204,154,125,0
1205,146,112,1
1206,152,121,1
1207,147,118,1
1208,143,118,1
1209,150,122,1
1210,142,111,0
1211,148,123,0
1212,146,115,0
1213,145,117,0
1214,154,121,0
1215,138,109,1
1216,147,118,0
1217,143,116,1
1218,147,117,0
1219,153,119,1
1220,144,109,1
1221,149,122,1
1222,140,114,0
1223,148,118,0
1224,150,120,1
1225,143,114,1
1226,152,122,0
1227,140,116,1
1228,149,117,0
1229,147,117,0
1230,147,112,1
1231,151,124,1
1232,147,115,1
1233,151,122,0
1234,146,116,0
1235,144,116,1
1236,149,121,1
1237,147,109,1
1238,149,125,0
1239,147,113,1
1240,147,116,0
1241,154,122,1
1242,146,115,1
1243,152,119,0
1244,145,113,1
1245,149,117,1
1246,149,119,1
1247,141,111,1
1248,150,117,1
1249,141,113,0
1250,151,117,1
1251,148,117,0
1252,146,115,0
1253,154,125,0
1254,138,112,1
1255,148,117,0
1256,147,115,1
1257,145,115,1
1258,151,121,0
1259,143,113,0
1260,152,118,1
1261,145,115,0
1262,146,114,1
1263,148,122,1
1264,138,108,1
1265,152,120,0
1266,143,110,1
1267,148,115,1
1268,152,115,0
1269,147,115,1
1270,153,123,1
1271,141,111,1
1272,150,116,0
1273,149,115,0
1274,146,111,0
1275,149,122,1
1276,146,110,0
1277,149,119,0
1278,148,114,0
1279,143,110,1
1280,154,123,0
1281,140,113,0
1282,152,119,1
1283,146,112,1
1284,145,114,0
1285,148,115,1
1286,144,107,0
1287,157,118,0
1288,148,110,1
1289,148,114,1
1290,149,114,1
1291,142,109,0
1292,149,121,1
1293,144,110,0
1294,149,114,0
1295,151,116,0
1296,148,113,1
1297,155,122,0
1298,145,108,0
1299,152,115,0
1300,149,114,0
1301,144,113,0
1302,150,115,0
1303,141,108,0
1304,154,117,0
1305,147,112,0
1306,148,113,0
1307,149,114,0
1308,145,104,1
1309,150,117,0
1310,148,109,0
1311,148,113,0
1312,154,119,0
1313,145,104,1
1314,151,113,1
1315,143,112,0
1316,148,114,0
1317,149,115,0
1318,143,105,0
1319,155,116,0
1320,142,105,1
1321,152,113,1
1322,150,113,0
1323,147,111,1
1324,151,112,0
1325,143,105,1
1326,155,114,0
1327,148,112,0
1328,145,111,0
1329,154,119,1
1330,143,107,1
1331,152,118,0
1332,147,111,1
1333,147,112,0
1334,151,113,1
1335,147,107,1
1336,155,115,1
1337,145,108,0
1338,149,112,1
1339,149,113,0
1340,147,107,1
1341,155,114,1
1342,145,106,0
1343,149,114,0
1344,151,113,1
1345,148,108,0
1346,154,116,1
1347,147,103,1
1348,153,114,0
1349,149,111,0
1350,146,109,1
1351,158,120,0
1352,147,108,0
1353,154,115,1
1354,148,111,1
1355,147,110,1
1356,155,112,0
1357,143,102,0
1358,150,113,1
1359,147,110,1
1360,149,110,1
1361,150,113,0
1362,144,103,0
1363,157,116,1
1364,148,110,1
1365,149,111,1
1366,151,111,1
1367,149,108,0
1368,154,117,0
1369,141,105,1
1370,153,110,0
1371,150,111,1
1372,147,107,1
1373,158,114,0
1374,142,102,1
1375,154,113,1
1376,149,108,1
1377,147,109,0
1378,153,111,0
1379,149,109,0
1380,157,111,1
1381,148,106,0
1382,148,109,0
1383,155,110,1
1384,148,103,0
1385,150,117,1
1386,149,108,0
1387,150,110,1
1388,151,111,1
1389,146,109,0
1390,157,115,1
1391,145,107,0
1392,150,111,0
1393,151,110,0
1394,148,107,1
1395,150,109,1
1396,140,100,0
1397,150,110,1
1398,148,108,1
1399,145,106,0
1400,152,109,1
1401,149,102,1
1402,156,112,0
1403,148,107,1
1404,148,107,1
1405,156,113,1
1406,142,101,0
1407,154,115,1
1408,148,107,0
1409,150,108,1
1410,154,110,1
1411,146,102,0
1412,154,111,1
1413,146,104,1
1414,150,110,1
1415,151,109,1
1416,145,104,1
1417,154,114,1
1418,149,107,1
1419,154,110,0
1420,149,108,0
1421,145,107,1
1422,153,115,1
1423,144,98,0
1424,157,113,0
1425,148,105,1
1426,149,105,1
1427,157,113,0
1428,145,101,1
1429,152,110,0
1430,147,104,1
1431,149,107,0
1432,154,111,1
1433,145,104,1
1434,150,111,0
1435,145,106,1
1436,152,108,0
1437,152,108,1
1438,144,100,1
1439,154,112,1
1440,147,100,1
1441,152,109,1
1442,150,107,0
1443,146,102,0
1444,151,111,1
1445,146,100,1
1446,153,113,0
1447,149,106,1
1448,148,106,1
1449,151,112,0
1450,148,98,1
1451,153,106,1
1452,146,102,0
1453,149,105,1
1454,153,108,1
1455,141,104,1
1456,150,115,0
1457,148,103,0
1458,150,106,1
1459,154,107,1
1460,141,97,1
1461,153,115,0
1462,147,103,1
1463,151,108,1
1464,151,106,0
1465,143,100,0
1466,152,114,0
1467,143,98,1
1468,155,106,0
1469,150,105,1
1470,146,102,0
1471,153,111,1
1472,140,102,0
1473,153,113,0
1474,150,102,1
1475,148,103,1
1476,152,105,0
1477,141,104,1
1478,159,107,0
1479,146,101,0
1480,150,105,1
1481,151,108,1
1482,142,104,1
1483,151,108,1
1484,143,100,1
1485,151,106,0
1486,151,106,0
1487,143,102,1
1488,155,104,0
1489,144,104,1
1490,154,106,1
1491,150,104,0
1492,147,100,0
1493,157,107,0
1494,146,98,1
1495,153,109,1
1496,147,104,0
1497,149,104,1
1498,156,105,1
1499,143,102,0
1500,150,112,0
1501,146,100,1
1502,150,103,1
1503,153,107,1
1504,142,98,1
1505,158,107,0
1506,148,100,1
1507,151,105,1
1508,151,104,1
1509,146,97,1
1510,152,104,0
1511,144,101,1
1512,152,105,0
1513,150,104,0
1514,147,97,1
1515,155,106,1
1516,143,98,1
1517,154,108,0
1518,150,102,0
1519,147,102,0
1520,151,105,0
1521,146,102,0
1522,157,111,0
1523,148,99,1
1524,149,101,0
1525,152,104,1
1526,144,101,1
1527,159,104,1
1528,149,102,0
1529,150,103,0
1530,151,106,0
1531,143,100,1
1532,157,109,1
1533,149,98,0
1534,153,104,1
1535,151,102,0
1536,148,99,0
1537,151,105,1
1538,141,101,1
1539,151,105,0
1540,150,101,1
1541,150,99,0
1542,155,108,1
1543,150,94,1
1544,152,109,0
1545,147,100,1
1546,150,101,0
1547,157,106,0
1548,145,94,0
1549,157,107,0
1550,147,98,1
1551,150,101,0
1552,153,102,0
1553,143,95,1
1554,150,105,0
1555,145,99,0
1556,152,101,1
1557,151,102,1
1558,144,94,1
1559,159,107,1
1560,144,97,1
1561,151,105,0
1562,150,100,0
1563,147,96,1
1564,151,105,1
1565,141,93,0
1566,151,104,1
1567,148,99,1
1568,149,98,0
1569,157,100,0
1570,147,97,1
1571,150,104,0
1572,146,98,1
1573,150,100,1
1574,152,101,0
1575,142,97,0
1576,157,101,0
1577,143,97,0
1578,150,101,1
1579,151,100,1
1580,150,92,0
1581,153,105,1
1582,149,99,1
1583,153,100,0
1584,150,99,1
1585,144,95,1
1586,150,100,1
1587,143,99,1
1588,154,99,1
1589,149,97,1
1590,150,98,1
1591,152,100,0
1592,146,91,0
1593,151,104,1
1594,147,97,0
1595,150,98,0
1596,152,100,0
1597,149,93,0
1598,159,103,1
1599,144,96,0
1600,151,99,1
1601,151,100,0
1602,143,93,0
1603,153,101,0
1604,147,96,0
1605,151,101,1
1606,151,99,0
1607,146,98,0
1608,151,99,1
1609,145,91,1
1610,151,99,0
1611,149,98,1
1612,150,95,1
1613,158,103,1
1614,145,96,1
1615,153,101,1
1616,150,97,0
1617,149,97,1
1618,156,99,0
1619,143,89,0
1620,155,102,0
1621,148,95,0
1622,150,98,1
1623,152,100,1
1624,144,97,0
1625,155,104,0
1626,147,97,0
1627,153,100,1
1628,150,98,0
1629,147,92,1
1630,158,107,1
1631,144,89,1
1632,151,102,1
1633,150,97,0
1634,149,95,0
1635,155,104,0
1636,144,89,0
1637,152,97,1
1638,149,95,1
1639,149,96,0
1640,153,98,0
1641,140,91,1
1642,157,97,1
1643,147,92,1
1644,150,96,0
1645,154,97,1
1646,142,96,0
1647,157,104,0
1648,148,94,0
1649,151,96,0
1650,153,98,0
1651,146,88,0
1652,156,97,1
1653,146,91,1
1654,152,98,1
1655,151,96,1
1656,148,92,1
1657,151,96,1
1658,144,86,1
1659,154,101,0
1660,149,95,0
1661,150,92,0
1662,152,100,1
1663,142,88,0
